,Unnamed: 0,URL,Date,Tweet ID,Username,Tweet,Hashtag,Like Count
0,157.0,https://twitter.com/doncharbone/status/1575899892790472704,2022-09-30 17:26:27+00:00,1.5759e+18,doncharbone,"@CNNIndonesia Penjualan Pertamax menurun drastis pasca kenaikan harga BBM awal bulan September.
Konsumen Pertamax banyak yang beralih ke Shell atau Vivo. Makanya harga Pertamax diturunkan biar tidak kalah saing.",,125.0
1,158.0,https://twitter.com/yusuf_dumdum/status/1575899134967435264,2022-09-30 17:23:27+00:00,1.5759e+18,yusuf_dumdum,"Breaking News! 

Harga Pertamax dan 3 Jenis BBM Turun Malam Ini Mulai Pukul 00.00 WIB. Berikut Daftar Harga Terbarunya! https://t.co/9hhiTEpHqx",,281.0
2,159.0,https://twitter.com/RamliRizal/status/1575815299982839808,2022-09-30 11:50:19+00:00,1.57582e+18,RamliRizal,"Kok tiba2 @jokowi, SMI &amp; LBP menyebar ketakutan inflasi, stagflasi dgn menyalahkan faktor2 internasional. Kok ndak jujur utk jelaskan bahwa resiko2 stagflasi krn kesalahan kebijakan ⁦@jokowi⁩, situ jor2-n bangun infrastruktur dgn utang ugal2an, naikkan harga bbm, listrik https://t.co/04OLs82QPe",,6912.0
3,160.0,https://twitter.com/SirianaGde/status/1575792279507243009,2022-09-30 10:18:50+00:00,1.57579e+18,SirianaGde,"Dengerin pidato presiden yg minta BI &amp; Kemenkeu briringan hadapi inflasi knaikan harga pangan &amp; transportasi. Koq Presiden spt tdk mrasa brsalah ya? Mestinya dr awal sadar bhw mnaikkan harga BBM subsidi kan naikkan inflasi. Jd sdh siap dg konsekuensinya.
https://t.co/eXUbvLefV2",,264.0
4,161.0,https://twitter.com/QaillaAsyiqah/status/1575785301343338496,2022-09-30 09:51:07+00:00,1.57579e+18,QaillaAsyiqah,"Sedang Berlangsung ~ Aksi Aliansi BEM SI Kerakyatan di kawasan Patung Kuda, Jakarta.. (30/Sept/2022)

Dengan Tuntutan:
•Tolak kenaikan harga BBM &amp; Bahan pokok
•Tuntaskan pelanggaran HAM
•Tolak RKUHP dll https://t.co/SZVBj0j0g5",,3475.0
5,162.0,https://twitter.com/OposisiCerdas/status/1575743517296455680,2022-09-30 07:05:05+00:00,1.57574e+18,OposisiCerdas,"Moeldoko Sebut Warga Sudah Menerima Kenaikan Harga BBM, Warganet: Matanya Buta, Hatinya Kosong, Telinganya Tuli
https://t.co/Wxq7vbfyUV",,1449.0
6,163.0,https://twitter.com/andry19633/status/1575732536092655616,2022-09-30 06:21:26+00:00,1.57573e+18,andry19633,"Sehabis Salat Jumat, Ribuan Mahasiswa Kembali Demo Menolak Kenaikan Harga BBM sekitar Istana, Patung Kuda, Jakarta https://t.co/EA546w4U7g  @RamliRizal https://t.co/JivZtJ47FX",,1426.0
7,164.0,https://twitter.com/thoughtstock_/status/1575661477926608896,2022-09-30 01:39:05+00:00,1.57566e+18,thoughtstock_,@WisnuArdiant @daraprayoga_ MA jadi presiden &gt; eh gampang disetir&gt; eh bbm naek lagi &gt; apa-apa harga naik &gt; satu indo ngambek,,443.0
9,166.0,https://twitter.com/Hasbil_Lbs/status/1575468901520982017,2022-09-29 12:53:51+00:00,1.57547e+18,Hasbil_Lbs,"Harga BBM dinaikkan, keluar narasi membanding2kan harga di Negara lain. Dollar tembus 15 ribu, keluar lagi narasi membanding2kan dgn negara lain. 

Gakkkkkk mau disalahkan! https://t.co/j9Cp8ecYiS",,106.0
11,168.0,https://twitter.com/GSBIPusat/status/1575362102654803969,2022-09-29 05:49:28+00:00,1.57536e+18,GSBIPusat,"Masa terus bergerak dengan tuntutan Turunkan Harga BBM, Cabut Omnibus Law Cipta Kerja, Naikkan UPAH BURUH

Kabupaten Bekasi hari ini, 29 September 2022 https://t.co/lPBfq9DUhE",,273.0
12,169.0,https://twitter.com/myputun/status/1575139444104908801,2022-09-28 15:04:42+00:00,1.57514e+18,myputun,"Harga Minyak Dunia Anjlok, BBM Bisa Turun Bu Sri Mulyani? https://t.co/ny50EXUnHK",,94.0
13,170.0,https://twitter.com/UyokBack/status/1575132857303007234,2022-09-28 14:38:32+00:00,1.57513e+18,UyokBack,"Berharap harga BBM yang turun, malah syarat TBM (Tinggi Badan Militer) yang turun. 
Padahal kalau harga BBM yg turun, pasti jutaan rakyat bisa sesuai lagi kantongnya, bukan cuma satu dua orang.",,710.0
14,171.0,https://twitter.com/prastow/status/1575113205126660096,2022-09-28 13:20:26+00:00,1.57511e+18,prastow,Saya malah baru tahu alasan kenaikan harga BBM adalah perang. Dampak Perang Rusia-Ukraina jelas terjadi saat Pemerintah menaikkan anggaran subsidi energi dari Rp 152 T menjadi Rp 502 T. Lalu penambahan kuota dan pelemahan Rupiah berpotensi meningatkan beban subsidi sd Rp 700 T.,,185.0
15,172.0,https://twitter.com/watchdoc_ID/status/1575098438999367683,2022-09-28 12:21:46+00:00,1.5751e+18,watchdoc_ID,"Berdalih subisidi yang salah sasaran, pemerintah resmi menaikkan harga BBM pada 3 September 2022. Hingga kini, hal ini masih dapat berbagai penolakan. 

Inilah kumpulan dokumentasi aksi penolakan kenaikan harga BBM di 8 kota di Indonesia.

https://t.co/21FpoTYuQ6 https://t.co/vvzGBpQGUN",,137.0
16,173.0,https://twitter.com/ari_trismana/status/1575083802749472768,2022-09-28 11:23:36+00:00,1.57508e+18,ari_trismana,8 videografer dari 8 kota mendokumentasikan aksi mahasiswa menolak kenaikan harga BBM. Segera di Watchdoc Kolaborasi. https://t.co/SdX9Ty50U3,,506.0
17,174.0,https://twitter.com/ekowboy2/status/1575027339024793600,2022-09-28 07:39:14+00:00,1.57503e+18,ekowboy2,"Perang Rusia-Ukraina dimulai bulan Feb &amp; harga minyak hari ini lebih rendah dari bulan Jan..

Alasan kenaikan BBM krn perang jadi tdk relevan, para penyembah ahok auto mingkem!! https://t.co/7MqXeKX5gL",,2332.0
18,175.0,https://twitter.com/alisyarief/status/1574991038652895232,2022-09-28 05:15:00+00:00,1.57499e+18,alisyarief,Pengingkaran Elite di Balik Kenaikan Harga BBM https://t.co/Qs6KVNyh71,,1112.0
19,176.0,https://twitter.com/RamliRizal/status/1574989104143470592,2022-09-28 05:07:18+00:00,1.57499e+18,RamliRizal,"Tahun lalu rata2 upah (UMR) hanya naik 1,09% pertahun, inflasi makanan sudah 11.5% dan bisa cepat naik ke 15% akibat kenaikan harga BBM &amp; pelemahan rupiah. Ini namanya ‘program pemiskinan masal buruh’ ? Kok tega, ngakunya Pancasila, ngakunya merah putih ? Pancasila jangan slogan!",,1663.0
20,177.0,https://twitter.com/tijabar/status/1574970338437664768,2022-09-28 03:52:44+00:00,1.57497e+18,tijabar,"Setelah Harga BBM 2x Naik, SPBU Vivo Tetap Ramai.

Suasana SPBU Vivo Tendean, setelah BBM Vivo Revvo 89 dinaikkan 2x menjadi Rp. 11.600,-/liter tetap ramai walaupun lebih mahal dari BBM Pertalite Pertamina RON 90 dg harga Rp. 10.000,-/liter. https://t.co/6Iu8UxDQDQ",,329.0
21,178.0,https://twitter.com/YanHarahap/status/1574969589309779973,2022-09-28 03:49:46+00:00,1.57497e+18,YanHarahap,Gimana mau dibilang ‘arif-bijaksana’ kalau menyusahkan hidup rakyat dengan menaikkan harga BBM padahal harga minyak dunia sedang rendah2nya??? https://t.co/ejaRS8AXBL,,1511.0
22,179.0,https://twitter.com/Danki_Cebong/status/1574940576121659397,2022-09-28 01:54:28+00:00,1.57494e+18,Danki_Cebong,"@Nada10062503 @jokowi Naik Akab 100 ribu aja lu ribut, gmn kalo lu naik kereta cepat ?
Calo, preman terminal &amp; PO bus yg naikin harga knp pak Jokowi yg disalahkan ?
Kan dia yg menaikkan harga BBM ?
Bukan tp menarik subsidi BBM, sampai kapan org2 kaya disubsidi ?
Lagian lu jln kaki aja pake lewat TOL.",,65.0
23,180.0,https://twitter.com/Urrangawak/status/1574933279479767040,2022-09-28 01:25:29+00:00,1.57493e+18,Urrangawak,Gubernur Jawa Tengah @ganjarpranowo mengajak mahasiswa untuk berani menggelar aksi menyikapi penyesuaian harga BBM bersubsidi dengan mengawasi penyaluran bantuan sosial yang merupakan kompensasi bagi masyarakat yang terdampak. https://t.co/MJrU01eGjw,,107.0
24,181.0,https://twitter.com/MataNajwa/status/1574776347289067522,2022-09-27 15:01:53+00:00,1.57478e+18,MataNajwa,"Harga minyak dunia lagi turun-turunnya nih. Bismillah… semoga bisa menular ke harga BBM yah 🙏🏼

| Mata Najwa https://t.co/LbQ6H9VUTF",,2625.0
25,182.0,https://twitter.com/polcanisme/status/1574717330646790145,2022-09-27 11:07:23+00:00,1.57472e+18,polcanisme,"Nama: Teuku Erriyan
Kelompok: Hirav (11)

what do you think when you see this meme? munculnya berita hacker bjorka dan juga keputusan presiden tentang naiknya harga bbm dikala situasi yang gundah gulana.

""Kritik Boleh, Tapi Harus Kritis!"" #GALATEA2022 #LKMMPraTD #HimakomUPNVJT https://t.co/9DXV7xRIUr","['GALATEA2022', 'LKMMPraTD', 'HimakomUPNVJT']",66.0
27,184.0,https://twitter.com/OposisiCerdas/status/1574692135391019008,2022-09-27 09:27:16+00:00,1.57469e+18,OposisiCerdas,"Belum Surut, Buruh dan Petani Demo Tolak Kenaikan Harga BBM di DPR
https://t.co/pcJa10nZ4k",,646.0
